code,company_name
7203,トヨタ自動車(株)
8306,(株)三菱ＵＦＪフィナンシャル・グループ
6501,(株)日立製作所
9984,ソフトバンクグループ(株)
6758,ソニーグループ(株)
8316,(株)三井住友フィナンシャルグループ
6857,(株)アドバンテスト
8035,東京エレクトロン(株)
9983,(株)ファーストリテイリング
8411,(株)みずほフィナンシャルグループ
8058,三菱商事(株)
8001,伊藤忠商事(株)
7011,三菱重工業(株)
4519,中外製薬(株)
8031,三井物産(株)
9432,ＮＴＴ(株)
6861,(株)キーエンス
7974,任天堂(株)
6098,(株)リクルートホールディングス
285A,キオクシアホールディングス(株)
2914,ＪＴ
8766,東京海上ホールディングス(株)
9433,ＫＤＤＩ(株)
6503,三菱電機(株)
4063,信越化学工業(株)
9434,ソフトバンク(株)
7182,(株)ゆうちょ銀行
7741,ＨＯＹＡ(株)
6702,富士通(株)
8002,丸紅(株)
4502,武田薬品工業(株)
7267,ホンダ
8053,住友商事(株)
6146,(株)ディスコ
6701,ＮＥＣ
6201,(株)豊田自動織機
7751,キヤノン(株)
6902,(株)デンソー
6954,ファナック(株)
6981,(株)村田製作所
8015,豊田通商(株)
8267,イオン(株)
8725,ＭＳ＆ＡＤインシュアランスグループホールディングス(株)
5803,(株)フジクラ
3382,(株)セブン＆アイ・ホールディングス
6301,コマツ
6178,日本郵政(株)
8591,オリックス(株)
6367,ダイキン工業(株)
4568,第一三共(株)
5802,住友電気工業(株)
6752,パナソニック　ホールディングス(株)
4578,大塚ホールディングス(株)
8750,第一生命ホールディングス(株)
5108,(株)ブリヂストン
8630,ＳＯＭＰＯホールディングス(株)
8801,三井不動産(株)
4661,(株)オリエンタルランド
6723,ルネサスエレクトロニクス(株)
8802,三菱地所(株)
8604,野村ホールディングス(株)
9022,東海旅客鉄道(株)
9020,東日本旅客鉄道(株)
1605,(株)ＩＮＰＥＸ
7269,スズキ(株)
8308,(株)りそなホールディングス
8830,住友不動産(株)
4503,アステラス製薬(株)
7013,(株)ＩＨＩ
6762,ＴＤＫ(株)
6273,ＳＭＣ(株)
4901,富士フイルムホールディングス(株)
8309,三井住友トラストグループ(株)
2802,味の素(株)
5020,ＥＮＥＯＳホールディングス(株)
6971,京セラ(株)
5401,日本製鉄(株)
1925,大和ハウス工業(株)
6920,レーザーテック(株)
1812,鹿島
9766,コナミグループ(株)
3659,(株)ネクソン
4543,テルモ(株)
7532,(株)パン・パシフィック・インターナショナルホールディングス
4507,塩野義製薬(株)
4452,花王(株)
9503,関西電力(株)
4307,(株)野村総合研究所
4689,ＬＩＮＥヤフー(株)
7936,(株)アシックス
5713,住友金属鉱山(株)
6326,(株)クボタ
9735,セコム(株)
6594,ニデック(株)
7832,(株)バンダイナムコホールディングス
9531,東京ガス(株)
1801,大成建設(株)
1802,(株)大林組
2502,アサヒグループホールディングス(株)
7270,(株)ＳＵＢＡＲＵ
4612,日本ペイントホールディングス(株)
8601,(株)大和証券グループ本社
5016,ＪＸ金属(株)
6988,日東電工(株)
4062,イビデン(株)
9532,大阪ガス(株)
8473,ＳＢＩホールディングス(株)
1928,積水ハウス(株)
9101,日本郵船(株)
2503,キリンホールディングス(株)
7012,川崎重工業(株)
6361,荏原
4684,(株)オービック
6383,(株)ダイフク
9697,(株)カプコン
7259,(株)アイシン
8795,(株)Ｔ＆Ｄホールディングス
7733,オリンパス(株)
3407,旭化成(株)
4091,日本酸素ホールディングス(株)
4755,楽天グループ(株)
8593,三菱ＨＣキャピタル(株)
1803,清水建設(株)
7735,(株)ＳＣＲＥＥＮホールディングス
9435,(株)光通信
7181,(株)かんぽ生命保険
9719,ＳＣＳＫ(株)
7202,いすゞ自動車(株)
9104,(株)商船三井
8113,ユニ・チャーム(株)
8697,(株)日本取引所グループ
7453,(株)良品計画
3402,東レ(株)
9502,中部電力(株)
5019,出光興産(株)
8331,(株)千葉銀行
